Name,Team,Pos,VOR2,Points,Ceiling,Floor,AAV,Risk,Image
Jaylen Samuels,PIT,TE,-60.50008478,88.20575309,104.2988985,55.386,NA,7.688608843,
Jaylen Samuels,PIT,TE,-60.50008478,88.20575309,104.2988985,55.386,NA,9.502618997,
Luke Willson,DET,TE,-61.14538349,87.56045438,113.8124374,54.194,NA,5.098128747,
Anthony Johnson,IND,WR,-61.22255934,131.3223315,120.21,120.21,NA,NA,
Mike Wallace,PHI,WR,-61.51006471,131.0348262,157.0799522,96.97922781,NA,3.973262899,
Chris Godwin,TB,WR,-62.54021037,130.0046805,160.4296778,94.01786008,1.2,3.88369733,
Dede Westbrook,JAC,WR,-62.58055351,129.9643374,183.9308765,54.906,NA,4.17030715,
Ty Montgomery,GB,RB,-63.03974077,117.9574789,135.8373198,89.2,1.5,4.678490357,
Javorius Allen,BAL,RB,-64.24630726,116.7509124,150.9726631,85.32391854,NA,5.8749551,
Ed Dickson,SEA,TE,-64.51095296,84.19488491,113.0589602,57.19038419,NA,5.310409217,
Mike Williams,LAC,WR,-64.88053189,127.664359,172.3263522,52.474,2.1,3.919523558,
Quincy Enunwa,NYJ,WR,-64.9676937,127.5771972,150.5458236,98.35981101,NA,3.803088318,
Tyrod Taylor,CLE,QB,-65.33017475,228.4313887,266.3128126,185.3,0,6.303506131,
Jason Myers,NYJ,K,-65.51762586,60.25663033,86.7781134,-20.1,NA,6.009569161,
Ryan Grant,IND,WR,-66.84821394,125.696677,137.6800781,95.45707317,NA,4.035958797,
Jermaine Kearse,NYJ,WR,-66.86859251,125.6762984,146.2286761,106.6086792,NA,3.919523558,
Tyler Higbee,LAR,TE,-69.80314696,78.90269091,96.42031002,61.82848746,NA,4.295510326,
Donte Moncrief,JAC,WR,-69.93441756,122.6104733,142.8397489,102.6470774,NA,4.00013257,
Austin Ekeler,LAC,RB,-70.23921731,110.7580023,125.423149,95.367,NA,4.091421169,
Ryan Griffin,HOU,TE,-70.50739377,78.19844409,106.4629174,41,NA,5.799121864,
Terrance Williams,DAL,WR,-70.56547782,121.9794131,136.2051181,102.9125438,NA,3.901610444,
Corey Clement,PHI,RB,-71.19413239,109.8030872,124.9317636,94.72,0,4.091139662,
Garrett Celek,SF,TE,-72.46734785,76.23849002,102.3139119,46.357,NA,5.399598562,
Peyton Barber,TB,RB,-73.8807627,107.1164569,144.1378442,59.56795812,2.3,6.44560922,
T.J. Yeldon,JAC,RB,-74.18261724,106.8146024,132.9995913,82.5722085,NA,4.595679903,
Matt Breida,SF,RB,-74.87456659,106.122653,119.8174595,77.98985387,NA,4.233400769,
Latavius Murray,MIN,RB,-75.13566391,105.8615557,143.3416678,66.3802699,1.6,5.947458574,
Courtland Sutton,DEN,WR,-76.34509593,116.199795,147.3259188,60.02415638,0,4.044915354,
Tyler Kroft,CIN,TE,-76.43583333,72.27000454,105.1362577,38.966,NA,5.103980278,
Albert Wilson,MIA,WR,-76.69241375,115.8524771,154.0544593,78.42318244,NA,3.973262899,
Christian Kirk,ARI,WR,-76.92061278,115.6242781,148.4072585,79.2622085,NA,3.973262899,
Geronimo Allison,GB,WR,-77.07265442,115.4722365,143.7260021,76.2797651,NA,4.035958797,
Anthony Miller,CHI,WR,-77.16332166,115.3815692,145.7481654,74.26610425,1.6,3.892653887,
Corey Coleman,BUF,WR,-77.48804733,115.0568436,150.6834057,33.19318244,NA,4.206133378,
Jesse James,PIT,TE,-77.63438958,71.07144829,97.37029366,46.228,NA,4.993576003,
Aaron Jones,GB,RB,-78.81504062,102.182179,138.8271719,52.878,1.7,6.728535259,
James Washington,PIT,WR,-78.87697315,113.6679177,150.7843325,67.0522085,0,4.089698138,
Travis Benjamin,LAC,WR,-79.74519993,112.799691,131.8438795,81.42838799,NA,4.02700224,
Dallas Goedert,PHI,TE,-80.14319744,68.56264042,88.49595841,45.38,NA,4.794977247,
Virgil Green,LAC,TE,-80.78110849,67.92472938,99.02946557,43.60633481,NA,5.162505501,
Nick Chubb,CLE,RB,-80.96224444,100.0349752,130.7627791,41.74,2,6.413823139,
Nick Vannett,SEA,TE,-81.63367102,67.07216684,103.9176994,38.78431912,NA,5.307001543,
Adam Humphries,TB,WR,-82.21373929,110.3311516,138.2747449,66.07385528,NA,4.009089126,
Jermaine Gresham,ARI,TE,-83.91325248,64.79258539,77.12472721,42.95174408,NA,4.463957867,
Hunter Henry,LAC,TE,-84.99100328,63.71483459,150.5247879,0,NA,17.22935629,
Doug Martin,OAK,RB,-86.16987971,94.82733993,105.4670292,77.59947066,1.6,4.144994318,
Taywan Taylor,TEN,WR,-86.4642572,106.0806337,155.6667425,34.741,NA,4.340481731,
Frank Gore,MIA,RB,-86.68095939,94.31626025,120.7313214,61.4,NA,5.207637916,
Stephen Anderson,HOU,TE,-86.87595065,61.82988722,75.4848189,27.20985889,NA,5.722600753,
Nyheim Hines,IND,RB,-87.29777389,93.69944574,120.3639405,72.84099422,NA,4.919598584,
Roberto Aguayo,LAC,K,-87.48388073,38.29037545,94.33986322,-6.3,NA,9.999278437,
Michael Gallup,DAL,WR,-87.64231194,104.9025789,160.7362597,1.673182442,1.4,3.901610444,
